sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
4264OTS,TRUE,4264OTS,4264-880,4264-881,,,,,,,,,796995965935,Lakeview,Lakeview Sofa Table,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$150.0,,Accents and Occasionals,Sofa Table,,,,46.0,30.0,48.0,18.0,,,"Rustic textures and colors combine to create Hillsdale Furniture’s Lakeview occasional tables. This wonderful collection boasts  a striking fusion of  medium oak wood, coppery brown metal, and a dynamic slate motif.  Composed of heavy gauge tubular steel, solid wood edges, climate controlled wood composites and veneers, this unique group is a perfect addition to your home. ","Medium oak wood, coppery brown metal, and dynamic slate motif",Rustic textures and colors,,,,,Wood, Metal,,,Solid wood and climate controlled wood composites and veneers,China,Small Parcel,2.0,16.0,4.0,18.0,39.0,40.0,3.0,23.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,,hh4264ots.jpg,,,,,,,,,,,,,,,,,,,hh4264ots.jpg,,,hh4264ots.jpg,,,,,,,,,
4264-880,TRUE,4264OTS,,,,,,,,,,,796995958647,Lakeview,Lakeview Sofa Table - Base Frame with Legs,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$75.0,,Accents and Occasionals,Sofa Table,,,,11.0,,,,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,16.0,4.0,18.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4264-881,TRUE,4264OTS,,,,,,,,,,,796995958654,Lakeview,Lakeview Sofa Table - Wood/Slate Top with Top Ring,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$75.0,,Accents and Occasionals,Sofa Table,,,,35.0,,,,,,,,,,,,,Wood, Metal,,,,China,Small Parcel,1.0,40.0,3.0,23.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4264-884,TRUE,4264-884,,,,,,,,,,,796995958685,Lakeview,Lakeview End Table,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$100.0,,Accents and Occasionals,End Table,,,,34.0,24.0,24.0,24.0,,,"Rustic textures and colors combine to create Hillsdale Furniture’s Lakeview occasional tables. This wonderful collection boasts  a striking fusion of  medium oak wood, coppery brown metal, and a dynamic slate motif.  Composed of heavy gauge tubular steel, solid wood edges, climate controlled wood composites and veneers, this unique group is a perfect addition to your home. ","Medium oak wood, coppery brown metal, and dynamic slate motif",Rustic textures and colors,,,,,Wood, Metal,,,Solid wood and climate controlled wood composites and veneers,China,Small Parcel,1.0,39.0,6.0,26.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,hh4264-884.jpg,,,,,,,,,,,,,,,,,,,hh4264-884.jpg,,,hh4264-884.jpg,,,,,,,,,
4264-886,TRUE,4264-886,,,,,,,,,,,796995978256,Lakeview,Lakeview Console Mirror,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$40.0,,Accents and Occasionals,Mirror,,,,10.0,30.0,20.0,0.75,,,"Rustic textures and colors combine to create Hillsdale Furniture’s Lakeview console and mirror. Boasting a striking fusion of  medium oak wood, coppery brown metal, and a dynamic slate diamond motif, these items are composed of heavy gauge tubular steel, wood composite and slate accents.  A charming addition to any home.","Medium oak wood, coppery brown metal, and dynamic slate motif",Rustic textures and colors,,,,,Wood, Metal,,,Solid wood and climate controlled wood composites and veneers,China,Small Parcel,1.0,15.0,1.88,28.13,41.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,hh4264-886.jpg,,,,,,,,,,,,,,,,,,,hh4264-886.jpg,,,hh4264-886.jpg,,,,,,,,,
4264-887,TRUE,4264-887,,,,,,,,,,,796995978263,Lakeview,Lakeview Console Table,Medium oak wood, coppery brown metal, and dynamic slate motif,,,,,,$80.0,,Accents and Occasionals,Console Table,,,,17.0,29.5,36.0,14.0,,,"Rustic textures and colors combine to create Hillsdale Furniture’s Lakeview console and mirror. Boasting a striking fusion of  medium oak wood, coppery brown metal, and a dynamic slate diamond motif, these items are composed of heavy gauge tubular steel, wood composite and slate accents.  A charming addition to any home.","Medium oak wood, coppery brown metal, and dynamic slate motif",Rustic textures and colors,,,,,Wood, Metal,,,Solid wood and  climate controlled wood composites and veneers,China,Small Parcel,1.0,22.0,7.25,18.13,41.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,hh4264-887.jpg,,,,,,,,,,,,,,,,,,,hh4264-887.jpg,,,hh4264-887.jpg,,,,,,,,,
4142-880,TRUE,4142-880,,,,,,,,,,,796995931633,Monaco,Monaco Coffee Table,Faux marble with Matte Espresso base,,,,,,,,$120.0,,Accents and Occasionals,Coffee Table,,,,40.0,17.5,30.0,50.0,,,Hillsdale Furniture's Monaco occasional table collection offers luxury and elegance at a price you can afford. A dynamic faux marble top sits atop a dramatic and strong metal base finished in Matte Espresso to compliment the hues in the table top.   Some assembly required.,Luxury and elegance at an affordable price,Faux marble with Matte Espresso base,,,,,Marble, Metal,,,,China,Oversized,1.0,45.0,5.0,33.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,hh4142-880.jpg,,,,,,,,,,,,,,,,,,,hh4142-880.jpg,,,hh4142-880.jpg,,,,,,,,,
4142-882,TRUE,4142-882,,,,,,,,,,,79699593164,Monaco,Monaco End Table,Faux marble with Matte Espresso base,,,,,,,,$90.0,,Accents and Occasionals,End Table,,,,23.0,22.0,26.0,,,,Hillsdale Furniture's Monaco occasional table collection offers luxury and elegance at a price you can afford. A dynamic faux marble top sits atop a dramatic and strong metal base finished in Matte Espresso to compliment the hues in the table top.   Some assembly required.,Luxury and elegance at an affordable price,Faux marble with Matte Espresso base,,,,,Marble, Metal,,,,China,Small Parcel,1.0,28.0,5.0,30.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,hh4142-882.jpg,,,,,,,,,,,,,,,,,,,hh4142-882.jpg,,,hh4142-882.jpg,,,,,,,,,
4142-884,TRUE,4142-884,,,,,,,,,,,796995931657,Monaco,Monaco Sofa Table,Faux marble with Matte Espresso base,,,,,,,,$100.0,,Accents and Occasionals,Sofa Table,,,,28.0,30.0,18.0,48.0,,,Hillsdale Furniture's Monaco occasional table collection offers luxury and elegance at a price you can afford. A dynamic faux marble top sits atop a dramatic and strong metal base finished in Matte Espresso to compliment the hues in the table top.   Some assembly required.,Luxury and elegance at an affordable price,Faux marble with Matte Espresso base,,,,,Marble, Metal,,,,China,Small Parcel,1.0,33.0,6.0,22.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,hh4142-884.jpg,,,,,,,,,,,,,,,,,,,hh4142-884.jpg,,,hh4142-884.jpg,,,,,,,,,
4142-888,TRUE,4142-888,,,,,,,,,,,796995955035,Monaco,Monaco Nesting Tables,Faux marble with Matte Espresso base,,,,,,,,$95.0,,Accents and Occasionals,Nesting Table,,,,30.0,24.5,18.0,19.0,,,"Hillsdale Furniture’s Monaco Nesting Tables offer luxury and elegance at a price you can afford.  Dynamic faux marble table tops sit atop dramatic and strong metal bases.  Designed to compactly nest one under the other, these tables are not only stunning in appearance but a convenient way to provide extra table space when needed without taking up living space when not.","Large: 24.5H x 18W x 19D, Medium: 22.25H x 15W x 16D, 20.25H x 12W x 13D",Luxury and elegance at an affordable price,Faux marble with Matte Espresso base,,,,Marble, Metal,,,,China,Small Parcel,1.0,35.0,8.0,24.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,,hh4142-888.jpg,,,,,,,,,,,,,,,,,,,hh4142-888 spread out.jpg,hh4142-888.jpg,,hh4142-888 spread out.jpg,hh4142-888.jpg,hh4142-888 spread out.jpg,hh4142-888 spread out.jpg,hh4142-888 spread out.jpg,hh4142-888.jpg,hh4142-888.jpg,,,
41549.0,TRUE,41549.0,,,,,,,,,,,796995415492,Montello,Montello Console Mirror,Old Steel finish,,,,,,,,$70.0,,Accents and Occasionals,Mirror,,,,23.0,3.0,32.0,45.0,,,"Drama and style are defined in Hillsdale’s Montello console table and mirror. Sweeping interlocking circles, intricate complimentary castings and elegantly curved legs combine to create a collection with grace, movement and elegance, finished in a dynamic old steel.",Interlocking circles,Intricate castings,Old Steel finish,,,,Metal, Glass,,,,China,Small Parcel,1.0,28.0,3.0,32.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41547.0,TRUE,41547.0,,,,,,,,,,,796995415478,Montello,Montello Console Table,Old Steel finish wih wood op,,,,,,,,$80.0,,Accents and Occasionals,Console Table,,,,24.0,8.0,19.0,40.0,,,"Drama and style are defined in Hillsdale’s Montello console table and mirror. Sweeping interlocking circles, intricate complimentary castings and elegantly curved legs combine to create a collection with grace, movement and elegance, finished in a dynamic old steel.",Interlocking circles,Intricate castings,Old Steel finish wih wood op,,,,Metal, MDF,,,MDF,China,Small Parcel,1.0,29.0,8.0,19.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321BH,TRUE,4321BH,4321-851,4321-850,,,,,,,,,796995992054,Outback,Outback Buffet and Hutch,Distressed chestnut finish,,,,,,,,$795.0,$1599.0,Accents and Occasionals,,,,,291.0,79.5,69.0,18.8,,,"Crafted from high mountain Ash solids and some select plywood, the Outback collection is sturdy and stylish.  The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks and blemishs.  Each piece is unique and full of rustic charm.  The buffet and hutch has many drawers and cabinets of various size to offer ample storage space for everything from china and silverware to glasses and spirits.  Alone or combined with the Outback dining table and chairs, the buffet and hutch is wonderful addition to any home.",Ash solid wood and select plywood,Aged and distressed appearance,Distressed chestnut finish,,,,Wood, MDF,,,Ash,Vietnam,LTL,2.0,152.0,16.0,46.0,69.0,1449.0,19.0,37.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,,hh4321bh.jpg,,,,,,,,,,,,,,,,,,,hh4321bh.jpg,,,hh4321bh.jpg,,,,,,,,,
4321-851,TRUE,4321BH,,,,,,,,,,,796995958012,Outback,Outback Hutch,Distressed chestnut finish,,,,,,,,$320.0,,Accents and Occasionals,Hutch,,,,147.0,44.0,69.0,14.8,,,,,,,,,,Wood, MDF,,,,Vietnam,LTL,1.0,152.0,16.0,46.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-850,TRUE,4321BH,,,,,,,,,,,796995958005,Outback,Outback Buffet,Distressed chestnut finish,,,,,,,,$475.0,$999.0,Accents and Occasionals,Buffet,,,,144.0,35.2,69.0,18.8,,,,,,,,,,Wood, MDF,,,,Vietnam,LTL,1.0,149.0,19.0,37.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-850,TRUE,4321-850,,,,,,,,,,,796995958005,Outback,Outback Buffet,,,,,,,,,$475.0,$999.0,Accents and Occasionals,Buffet,,,,144.0,35.2,69.0,18.8,,,,,,,,,,,,,,,Vietnam,LTL,1.0,149.0,19.0,37.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-890,TRUE,4321-890,,,,,,,,,,,796995958272,Outback,Outback Wine Rack,Distressed chestnut finish,,,,,,,,$460.0,$979.0,Accents and Occasionals,Wine Rack,,,,144.91,55.4,58.6,16.8,,,"Crafted from high mountain Ash solids and some select plywood, the Outback collection is sturdy and stylish.  The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks and blemishs.  Each piece is unique and full of rustic charm.  The wine rack has many cabinets of various size to offer ample storage space for glasses and spirits.  The center win rack holds 4 bottles of wine, the drawer above is perfect for storing cork screws and other neccessaties. Alone or combined with the Outback dining table and chairs, the wine rack is wonderful addition to any home.",Ash solid wood and select plywood,Aged and distressed appearance,Distressed chestnut finish,,,,Wood, MDF,,,Ash,Vietnam,LTL,1.0,149.91,18.0,56.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-890.jpg,,,,,,,,,,,,,,,,,,,hh4321-890.jpg,,,hh4321-890.jpg,,,,,,,,,
4321-855,TRUE,4321-855,,,,,,,,,,,796995958296,Outback,Outback Kitchen Island,Distressed chestnut finish,,,,,,,,$405.0,$849.0,Accents and Occasionals,Island,,,,157.04,35.6,50.8,22.6,,,"Crafted from high mountain Ash solids and some select plywood, the Outback collection is sturdy and stylish.  The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks and blemishs.  Each piece is unique and full of rustic charm.  The kitchen island has 5 drawers of various size to offer ample storage space.  The top has two granite inserts, providing cool and smooth work spaces. Alone or combined with the Outback dining table and chairs, the wine rack is wonderful addition to any home.",Ash solid wood and select plywood,Aged and distressed appearance,Distressed chestnut finish,,,,Wood, MDF,,,Ash,Vietnam,LTL,1.0,162.04,24.0,33.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-855.jpg,,,,,,,,,hh4321-855 - detail.jpg,hh4321-855 - detail1.jpg,hh4321-855 - detail2.jpg,hh4321-855 - detail3.jpg,hh4321-855 - drawer detail.jpg,hh4321-855 - drawer detail1.jpg,hh4321-855 - top detail.jpg,,,,hh4321-855 - detail.jpg,hh4321-855 - detail1.jpg,hh4321-855 - detail2.jpg,hh4321-855 - detail.jpg,hh4321-855 - detail1.jpg,hh4321-855 - detail2.jpg,hh4321-855 - detail3.jpg,hh4321-855 - drawer detail.jpg,hh4321-855 - drawer detail1.jpg,hh4321-855 - top detail.jpg,hh4321-855.jpg,hh4321-855 - detail.jpg,hh4321-855 - detail.jpg
61713.0,TRUE,61713.0,,,,,,,,,,,796995030114,Pompeii,Pompeii Nesting Tables,Black gold metal with slate mosaic,,,,,,,,$140.0,,Accents and Occasionals,Nesting Table,,,,53.0,24.5,20.75,16.0,,,"A graceful scrolled silhouette drawes your eye to the lovely and colorful motif.  Our Pompei collection of occasional tables are not just your everyday display tables. Fascinating to the decorator's eye, with elegantly sculpted metal bases, and a stunning addition to your home décor, with interesting and colorful slate accents, this collection of occasional tables is sure to inspire the creativity in you as well as the envy of your house guests.","Large: 24.5H x 20.75W x 16D, Medium: 22.5H x 18.5W x 16D, Small: 20.5H x 16W x 16D",Elegantly scuplted metal bases,Colorful slate accents,,,,Metal, Slate,,,,China,Small Parcel,1.0,58.0,12.0,18.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40386OTC,TRUE,40386OTC,40386.0,40336T,,,,,,,,,796995921498,Scottsdale,Scottsdale Cocktail Table,Brown rust finish with glass,,,,,,,,$125.0,,Accents and Occasionals,Cocktail Table,,,,54.0,18.0,39.0,39.0,,,The Scottsdale collection features graceful flowing lines and intricate castings.  The most stunning effect is the flower motifthat lies beneath the glass top.   ,Graceful flowing lines,Flower motif lying beneath the glass top,,,,,Metal, Glass,,,,China,Oversized,2.0,25.0,5.0,30.0,30.0,39.0,2.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.25,,hh40386otc.jpg,,,,,,,,,,,,,,,,,,,hh40386otc.jpg,,,hh40386otc.jpg,,,,,,,,,
40386.0,TRUE,40386OTC,,,,,,,,,,,796995403864,Scottsdale,Scottsdale Cocktail Table - Base,Brown rust finish with glass,,,,,,,,$75.0,,Accents and Occasionals,Cocktail Table,,,,20.0,18.0,28.0,28.0,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,25.0,5.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40336T,TRUE,40386OTC,,,,,,,,,,,796995403369,Scottsdale,Scottsdale Cocktail Table - Glass Top,Brown rust finish with glass,,,,,,,,$50.0,,Accents and Occasionals,Cocktail Table,,,,34.0,,39.0,39.0,,,,,,,,,,Metal, Glass,,,,China,Oversized,1.0,39.0,2.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40384OTE,TRUE,40384OTE,40384.0,40385.0,,,,,,,,,796995921481,Scottsdale,Scottsdale End Table,Brown rust finish with glass,,,,,,,,$85.0,,Accents and Occasionals,End Table,,,,27.0,22.0,26.0,,,,The Scottsdale collection features graceful flowing lines and intricate castings.  The most stunning effect is the flower motifthat lies beneath the glass top.   ,Graceful flowing lines,Flower motif lying beneath the glass top,,,,,Metal, Glass,,,,China,Small Parcel,2.0,21.0,8.0,21.0,21.0,16.0,2.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.75,,hh40384ote.jpg,,,,,,,,,,,,,,,,,,,hh40384ote.jpg,,,hh40384ote.jpg,,,,,,,,,
40384.0,TRUE,40384OTE,,,,,,,,,,,79699540384,Scottsdale,Scottsdale End Table - Base,Brown rust finish with glass,,,,,,,,$55.0,,Accents and Occasionals,End Table,,,,16.0,22.0,26.0,26.0,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,21.0,8.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40385.0,TRUE,40384OTE,,,,,,,,,,,796995403857,Scottsdale,Scottsdale End Table - Glass Top,Brown rust finish with glass,,,,,,,,$30.0,,Accents and Occasionals,End Table,,,,11.0,,26.0,26.0,,,,,,,,,,Metal, Glass,,,,China,Small Parcel,1.0,16.0,2.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4685BH,TRUE,4685BH,4685-850,4685-851,,,,,,,,,796995987289,Villagio,Villagio Server and Hutch,Dark chestnut finish,,,,,,,,$550.0,,Accents and Occasionals,,,,,18.0,82.5,56.0,18.0,,,"A well made, sturdy dining table with a dark chestnut finish, Hillsdale Furniture's Villagio Dining table with included leaf, has a defined appearance.  It seats up to six people in ladder backed chairs and wood grained leather cushions.  To accentuate this look, ladder backed swivel stools are available along with a matching server/hutch.",Dark Chesnut finish,,,,,,Wood,,,,Asian hardwood,Vietnam,LTL,2.0,162.0,8.0,46.0,73.0,162.0,20.0,39.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,hh4685bh.jpg,,,,,,,,,,,,,,,,,,,hh4685bh.jpg,,,hh4685bh.jpg,,,,,,,,,
4685-850,TRUE,4685BH,,,,,,,,,,,796995984011,Villagio,Villagio Hutch,Dark chestnut finish,,,,,,,,$155.0,,Accents and Occasionals,Hutch,,,,,,,,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,49.6,56.0,49.25,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4685-851,TRUE,4685BH,,,,,,,,,,,796995984028,Villagio,Villagio Server ,Dark chestnut finish,,,,,,,,$395.0,,Accents and Occasionals,Server,,,,,,,,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,162.0,20.0,39.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4508-881,TRUE,4508-881,,,,,,,,,,,796995050969,Wilshire,Wilshire Cocktail Table,Antique White,,,,,,,,$210.0,,Accents and Occasionals,Cocktail Table,,,,45.0,19.0,48.0,30.0,,,"The Wilshire collection features a blend of cottage styling with country accented details.  The blend of Americana and English Country gives the Wilshire collection a look and feel that will enhance any home.  The craftsmanship is evident in each piece. Opening a drawer is a reflection of old world craftsmanship, complete with tongue and groove drawer bottoms, English dovetail drawer construction and thick solid wood drawers.  Finishes have been painstakingly applied to give years of enjoyment.",Antique White finish,Cottage styling wih country accented details,Solid wood drawers,,,,Wood,,,,Solid wood,Vietnam,Oversized,1.0,50.0,7.0,34.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,hh4508-881.jpg,,,,,,,,,,,,,,,,,,,hh4508-881.jpg,,,hh4508-881.jpg,,,,,,,,,
4508-882,TRUE,4508-882,,,,,,,,,,,79699505099,Wilshire,Wilshire End Table,Antique White,,,,,,,,$130.0,,Accents and Occasionals,End Table,,,,29.0,24.0,27.0,24.0,,,"The Wilshire collection features a blend of cottage styling with country accented details.  The blend of Americana and English Country gives the Wilshire collection a look and feel that will enhance any home.  The craftsmanship is evident in each piece. Opening a drawer is a reflection of old world craftsmanship, complete with tongue and groove drawer bottoms, English dovetail drawer construction and thick solid wood drawers.  Finishes have been painstakingly applied to give years of enjoyment.",Antique White finish,Cottage styling wih country accented details,Solid wood drawers,,,,wood,,,,Solid wood,Vietnam,Small Parcel,1.0,34.0,9.0,29.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,hh4508-882.jpg,,,,,,,,,,,,,,,,,,,hh4508-882.jpg,,,hh4508-882.jpg,,,,,,,,,
4942-851,TRUE,4942-851,,,,,,,,,,,796995992689,Woodridge,Woodridge Server,Walnut,,,,,,,,$650.0,$1299.0,Accents and Occasionals,Server,,,,206.0,36.0,56.0,18.0,,,"Reminiscent of Victorian design ideals, the Woodridge Server is an elegant and ornate accent piece for the modern dining room. Constructed of solid hardwood and veneers in a rich walnut hue, the Woodridge features two drawers, two cabinets, as well as an open shelving and wine storage unit, making it ideal for special occasion storage and flexible serving. Brushed pewter hardware adds a touch of luxury to this already timeless home furnishing. Some assembly required.",Two drawersTwo cabinets,,Open shelving,Wine storage unit,,,Wood,,,,,Indonesia,LTL,1.0,211.0,22.0,36.5,59.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4942-851.jpg,,,,,,,,,,,,,,,,,,,hh4942-851.jpg,,,hh4942-851.jpg,,,,,,,,,
4815-850,TRUE,4815-850,,,,,,,,,,,796995053762,Brookside,Brookside Baker's Rack,Brown powder coat,,,,,,,,$170.0,,Baker's Racks,,,,,81.0,72.0,35.0,18.0,,,Our Brookside baker's rack features the lustrous depth and beauty of fossilstone and the classic effect of transitional designs.  ,Brown powder coat finish with Fossilstone,Transitional design,,,,,Metal, Stone,,,,China,Oversized,1.0,86.0,8.0,38.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5,,hh4815-850.jpg,,,,,,,,,,,,,,,,,,,hh4815-850.jpg,,,hh4815-850.jpg,,,,,,,,,
41417.0,TRUE,41417.0,,,,,,,,,,,796995414174,Camelot,Camelot Baker's Rack,Black gold finish,,,,,,,,$100.0,,Baker's Racks,,,,,33.0,70.5,30.0,16.0,,,"Resplendent in a rich black gold finish and draped in a metal rope motif, our Camelot dining group is a collection fit for royalty at a commoner's price. The group also includes a lovely metal baker's rack with coordinating draped metal rope. ",Black gold finish,Metal rope motif,,,,,Metal,,,,,China,Small Parcel,1.0,38.0,4.0,19.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4264-850,TRUE,4264-850,,,,,,,,,,,796995954298,Lakeview,Lakeview Slate Baker's Rack,Medium oak wood, coppery brown metal, and dynamic slate accents,,,,,,$130.0,,Baker's Racks,,,,,47.0,70.0,30.0,16.0,,,"Boasting a striking fusion of  medium oak wood, coppery brown metal, and a dynamic slate accents, the Lakeview Baker's rack is both attractive and functional.  Ample storage space is provided by four shelves.  The largest shelf has wood edges and slate inlays that correspond with the slate accents at the top of this handsome piece.  Composed of heavy gauge tubular steel, solid wood edges, climate controlled wood composites and veneers, and slate accents.","Medium oak wood, coppery brown metal, and dynamic slate accents",Attractive and functional,Ample storage space,,,,Metal, Wood,,,Wood Composites,China,Small Parcel,1.0,52.0,5.0,35.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,hh4264-850.jpg,,,,,,,,,,,,,,,,,,,hh4264-850.jpg,,,hh4264-850.jpg,,,,,,,,,
